"","n","p","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time"
"203",2000,250,20,128,"cpu",FALSE,1000,3,FALSE,7.82948160171509
"204",2000,500,20,128,"cpu",FALSE,1000,3,FALSE,7.68196558952332
"205",2000,100,20,256,"cpu",FALSE,1000,3,FALSE,6.19405245780945
"206",2000,250,20,256,"cpu",FALSE,1000,3,FALSE,6.27529668807983
"207",2000,500,20,256,"cpu",FALSE,1000,3,FALSE,5.67006278038025
"208",2000,100,20,16,"cuda",FALSE,1000,3,FALSE,18.5482828617096
"209",2000,250,20,16,"cuda",FALSE,1000,3,FALSE,18.4571995735168
"210",2000,500,20,16,"cuda",FALSE,1000,3,FALSE,20.6392788887024
"211",2000,100,20,128,"cuda",FALSE,1000,3,FALSE,2.39197874069214
"212",2000,250,20,128,"cuda",FALSE,1000,3,FALSE,2.40740966796875
"213",2000,500,20,128,"cuda",FALSE,1000,3,FALSE,2.39477777481079
"214",2000,100,20,256,"cuda",FALSE,1000,3,FALSE,1.42811727523804
"215",2000,250,20,256,"cuda",FALSE,1000,3,FALSE,1.27815675735474
"216",2000,500,20,256,"cuda",FALSE,1000,3,FALSE,1.26202940940857
"217",2000,100,20,16,"cpu",TRUE,100,5,FALSE,24.2839658260345
"218",2000,250,20,16,"cpu",TRUE,100,5,FALSE,25.5215358734131
"219",2000,500,20,16,"cpu",TRUE,100,5,FALSE,28.0331130027771
"220",2000,100,20,128,"cpu",TRUE,100,5,FALSE,4.0996413230896
"221",2000,250,20,128,"cpu",TRUE,100,5,FALSE,4.35457992553711
"222",2000,500,20,128,"cpu",TRUE,100,5,FALSE,4.63891911506653
"223",2000,100,20,256,"cpu",TRUE,100,5,FALSE,2.73707389831543
"224",2000,250,20,256,"cpu",TRUE,100,5,FALSE,2.62197756767273
"225",2000,500,20,256,"cpu",TRUE,100,5,FALSE,2.76218628883362
"226",2000,100,20,16,"cuda",TRUE,100,5,FALSE,23.9262597560883
"227",2000,250,20,16,"cuda",TRUE,100,5,FALSE,24.0827856063843
"228",2000,500,20,16,"cuda",TRUE,100,5,FALSE,23.8763465881348
"229",2000,100,20,128,"cuda",TRUE,100,5,FALSE,3.56349396705627
"230",2000,250,20,128,"cuda",TRUE,100,5,FALSE,3.96349692344666
"231",2000,500,20,128,"cuda",TRUE,100,5,FALSE,3.50876402854919
"232",2000,100,20,256,"cuda",TRUE,100,5,FALSE,2.31979537010193
"233",2000,250,20,256,"cuda",TRUE,100,5,FALSE,2.33668422698975
"234",2000,500,20,256,"cuda",TRUE,100,5,FALSE,2.31081295013428
"235",2000,100,20,16,"cpu",FALSE,100,5,FALSE,25.7212605476379
"236",2000,250,20,16,"cpu",FALSE,100,5,FALSE,27.0655910968781
"237",2000,500,20,16,"cpu",FALSE,100,5,FALSE,29.323224067688
"238",2000,100,20,128,"cpu",FALSE,100,5,FALSE,3.66943001747131
"239",2000,250,20,128,"cpu",FALSE,100,5,FALSE,4.17546987533569
"240",2000,500,20,128,"cpu",FALSE,100,5,FALSE,4.34394383430481
"241",2000,100,20,256,"cpu",FALSE,100,5,FALSE,2.3317346572876
"242",2000,250,20,256,"cpu",FALSE,100,5,FALSE,2.18841361999512
"243",2000,500,20,256,"cpu",FALSE,100,5,FALSE,2.50737810134888
