"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time1","time2","loss"
"186",2000,500,"sgd",20,256,"cuda",FALSE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"187",2000,500,"adam",40,256,"cuda",FALSE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"188",2000,500,"sgd",40,256,"cuda",FALSE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"189",2000,500,"adam",20,512,"cuda",FALSE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"190",2000,500,"sgd",20,512,"cuda",FALSE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"191",2000,500,"adam",40,512,"cuda",FALSE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"192",2000,500,"sgd",40,512,"cuda",FALSE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"193",2000,500,"adam",20,16,"cpu",TRUE,100,20,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"194",2000,500,"sgd",20,16,"cpu",TRUE,100,20,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"195",2000,500,"adam",40,16,"cpu",TRUE,100,20,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"196",2000,500,"sgd",40,16,"cpu",TRUE,100,20,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"197",2000,500,"adam",20,256,"cpu",TRUE,100,20,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"198",2000,500,"sgd",20,256,"cpu",TRUE,100,20,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"199",2000,500,"adam",40,256,"cpu",TRUE,100,20,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"200",2000,500,"sgd",40,256,"cpu",TRUE,100,20,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
