"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time"
"249",2000,500,"adam",20,512,"cpu",TRUE,1000,20,FALSE,28.4039180278778
"250",2000,500,"sgd",20,512,"cpu",TRUE,1000,20,FALSE,24.5122380256653
"251",2000,500,"adam",40,512,"cpu",TRUE,1000,20,FALSE,46.7363758087158
"252",2000,500,"sgd",40,512,"cpu",TRUE,1000,20,FALSE,39.2419371604919
"253",2000,500,"adam",20,16,"cuda",TRUE,1000,20,FALSE,75.834076166153
"254",2000,500,"sgd",20,16,"cuda",TRUE,1000,20,FALSE,19.7740411758423
"255",2000,500,"adam",40,16,"cuda",TRUE,1000,20,FALSE,152.23872923851
"256",2000,500,"sgd",40,16,"cuda",TRUE,1000,20,FALSE,38.637622833252
"257",2000,500,"adam",20,256,"cuda",TRUE,1000,20,FALSE,5.6596212387085
"258",2000,500,"sgd",20,256,"cuda",TRUE,1000,20,FALSE,1.94583010673523
"259",2000,500,"adam",40,256,"cuda",TRUE,1000,20,FALSE,10.3728852272034
"260",2000,500,"sgd",40,256,"cuda",TRUE,1000,20,FALSE,3.127521276474
"261",2000,500,"adam",20,512,"cuda",TRUE,1000,20,FALSE,3.22189164161682
"262",2000,500,"sgd",20,512,"cuda",TRUE,1000,20,FALSE,1.39172101020813
"263",2000,500,"adam",40,512,"cuda",TRUE,1000,20,FALSE,5.6996796131134
"264",2000,500,"sgd",40,512,"cuda",TRUE,1000,20,FALSE,1.98583650588989
"265",2000,500,"adam",20,16,"cpu",FALSE,1000,20,FALSE,299.34495472908
"266",2000,500,"sgd",20,16,"cpu",FALSE,1000,20,FALSE,125.517494678497
"267",2000,500,"adam",40,16,"cpu",FALSE,1000,20,FALSE,598.206850767136
"268",2000,500,"sgd",40,16,"cpu",FALSE,1000,20,FALSE,253.527909994125
"269",2000,500,"adam",20,256,"cpu",FALSE,1000,20,FALSE,32.266327381134
"270",2000,500,"sgd",20,256,"cpu",FALSE,1000,20,FALSE,22.63822889328
"271",2000,500,"adam",40,256,"cpu",FALSE,1000,20,FALSE,64.1090624332428
"272",2000,500,"sgd",40,256,"cpu",FALSE,1000,20,FALSE,43.8897120952606
"273",2000,500,"adam",20,512,"cpu",FALSE,1000,20,FALSE,19.8085012435913
"274",2000,500,"sgd",20,512,"cpu",FALSE,1000,20,FALSE,14.5771989822388
"275",2000,500,"adam",40,512,"cpu",FALSE,1000,20,FALSE,37.6387515068054
"276",2000,500,"sgd",40,512,"cpu",FALSE,1000,20,FALSE,27.0963582992554
